process_name,pain_proportion ,process_number,responsible
"32. Gestionar la publicación de los términos de referencia en ""Invitación Pública"" Responsable: (DSA)",0.0,32,DSA
44. Generar la evaluación de criterios económicos Responsable: (DSA),0.0,44,DSA
50. Generar y publicar el aviso de proceso desierto Responsable: (DSA),0.0,50,DSA
51. Generar y publicar el aviso de adjudicación Responsable: (DSA),0.0,51,DSA
41. Recibir y analizar la evaluación de criterios habilitantes Responsable: (usuario contratación),0.0,41,usuario contratación
40. Generar y validar el estudio de capacidad administrativa Responsable: (DSA),0.0,40,DSA
45. Revisar y preaprobar el proceso de valuación Responsable: (usuario contratación y líder de área),0.0,45,usuario contratación y líder de área
85. ¿Cual es la actividad que dentro de este viaje le genera mayor dolor?,0.0,85,
84. ¿Considera que las modalidades de contratación son acordes a la dinámica que requiere el negocio para tener un proceso optimo de contratación? Responsable: (Todos),0.0,84,Todos
83. ¿Alguna vez ha validado la adquisición por la tienda virtual del estado colombiano (Colombia compra eficiente)?,0.0,83,
86. ¿Qué haría diferente para tener un mejor proceso de contratación de bienes y servicios?,0.0,86,
58. Aprobar la solicitud de elaboración de contrato/orden  Responsable: (usuario contratación),0.043478260869565216,58,usuario contratación
36. Realizar al revisión inicial de la documentación requerida en la invitación Responsable: (DSA),0.043478260869565216,36,DSA
37. Consultar a las partes interesadas en listas restrictivas (SARLAFT) Responsable: (DSA - Centinela y OCU),0.043478260869565216,37,DSA - Centinela y OCU
"31. Gestionar el cargue de los documentos para la publicación de los términos de referencia en ""Invitación Pública"" Responsable: (DSA)",0.043478260869565216,31,DSA
"30. Gestionar la publicación de los términos de referencia en ""Invitación Privada"" Responsable: (DSA)",0.043478260869565216,30,DSA
24. Tiempo de generación de la solicitud de términos de referencia (Responsable: DSA),0.07692307692307693,24,DSA
19. Estructurar documento anexo económico para los términos de referencia (Responsable: usuario contratación / DSA),0.07692307692307693,19,usuario contratación / DSA
42. Generar la evaluación de criterios técnicos Responsable: (usuario contratación),0.08695652173913043,42,usuario contratación
49. Aprobar la selección del proponente presentado en el resultado de la evaluación. Responsable: (Ordenador del gasto),0.08695652173913043,49,Ordenador del gasto
"34. Generar y publicar adendas para ajustar información en los términos de referencia. Responsable: (OGC, DSA y usuario contratación)",0.08695652173913043,34,"OGC, DSA y usuario contratación"
38. Generar y validar el estudio de capacidad financiera Responsable: (DCP),0.08695652173913043,38,DCP
48. Presentar el resultado del proceso de evaluación al ordenador del gasto (Junta Directiva) Responsable: (usuario contratación y líder de área),0.08695652173913043,48,usuario contratación y líder de área
"29. Gestionar el cargue de los documentos para la publicación de los términos de referencia en ""Invitación Privada"" Responsable: (DSA)",0.08695652173913043,29,DSA
39. Generar y validar el estudio de capacidad jurídica Responsable: (OGC),0.08695652173913043,39,OGC
66. Aprobar el documento generado de contrato/orden (Responsable: usuario contratación),0.08695652173913043,66,usuario contratación
80. Gestionar la creación del proveedor en SISA y T24 (Responsable: DGC),0.08695652173913043,80,DGC
22. Realizar el contacto y validación de la intervención de la OGT (Responsable: OGT),0.11538461538461539,22,OGT
59. Tiempo de generación de la solicitud de elaboración de orden/contrato Responsable: (DSA),0.13043478260869565,59,DSA
47. Presentar el resultado del proceso de evaluación al ordenador del gasto (CIGD) Responsable: (usuario contratación y líder de área),0.13043478260869565,47,usuario contratación y líder de área
46. Presentar el resultado del proceso de evaluación al ordenador del gasto (Vicepresidente) Responsable: (usuario contratación y líder de área),0.13043478260869565,46,usuario contratación y líder de área
57. Realizar la solicitud de elaboración de contrato/orden con la información de la propuesta aceptada. Responsable: (usuario contratación / DSA),0.13043478260869565,57,usuario contratación / DSA
68. Cargar y enviar el contrato/orden al proveedor para tramite de legalización (Responsable: Abogado OGC),0.13043478260869565,68,Abogado OGC
69. Revisar el contrato/orden (Responsable: Proveedor seleccionado),0.13043478260869565,69,Proveedor seleccionado
78. Elaborar memorando de legalización  (Responsable: Abogado OGC),0.13043478260869565,78,Abogado OGC
13. Resultado del estudio de mercado (Responsable: DSA),0.15384615384615385,13,DSA
82. Remitir los físicos al custodio documental en el DOP (Responsable: Abogado OGC y  DOP),0.17391304347826086,82,Abogado OGC y  DOP
75. Enviar contrato/orden para firma del representante legal (Responsable: Abogado OGC),0.17391304347826086,75,Abogado OGC
73. Revisar documentación radicada por el proveedor (Responsable: Abogado OGC),0.17391304347826086,73,Abogado OGC
71. Expedir pólizas requeridas en el contrato/orden (Responsable: Proveedor seleccionado),0.17391304347826086,71,Proveedor seleccionado
64. Realizar el contacto y validación de la intervención de la OGT (Responsable: OGT),0.17391304347826086,64,OGT
"33. Recibir y gestionar las inquietudes que se generan por parte de los proponentes interesados en la invitación. Responsable: (OSI, ORO, OGC, DSA y usuario contratación)",0.17391304347826086,33,"OSI, ORO, OGC, DSA y usuario contratación"
12. Tiempo de entrega del estudio de mercado (Responsable: usuario contratación),0.19230769230769232,12,usuario contratación
21. Realizar el contacto y validación de la intervención de la ORO (Responsable: ORO),0.19230769230769232,21,ORO
"11. Generar el documento RFI ""Request For Información"" (Solicitud de Información) para el estudio de mercado (Responsable: usuario contratación / DSA)",0.19230769230769232,11,usuario contratación / DSA
6. Administrar el Plan Anual de Adquisiciones (Responsable: DSA),0.19230769230769232,6,DSA
77. Escanear e indexar documentos en OnBase (Responsable: Abogado OGC),0.21739130434782608,77,Abogado OGC
60. Revisar la información y documentos anexos para iniciar el proceso de estructuración de contrato/orden. (Responsable: Abogado OGC),0.21739130434782608,60,Abogado OGC
65. Aprobar el documento generado de contrato/orden (Responsable: OGC),0.21739130434782608,65,OGC
9. Establecer claramente el objeto y alcance de la contratación (Responsable: usuario contratación),0.23076923076923078,9,usuario contratación
79. Tiempo de legalización de contrato/orden (Responsable: OGC),0.2608695652173913,79,OGC
63. Realizar el contacto y validación de la intervención de la ORO (Responsable: ORO),0.2608695652173913,63,ORO
52. Generar y presentar recomendación técnica para elaborar el contrato Responsable: (DTI y usuario contratación),0.2608695652173913,52,DTI y usuario contratación
62. Realizar el contacto y validación de la intervención de la OSI (Responsable: OSI),0.2608695652173913,62,OSI
"43. Solicitar y generar evaluación de criterios técnicos a otras áreas (DTI - OSI - ORO) Responsable: (OSI, ORO, DTI y usuario contratación)",0.2608695652173913,43,"OSI, ORO, DTI y usuario contratación"
35. Cargar y enviar la propuesta por parte de los proponentes. Responsable: (Proponentes),0.2608695652173913,35,Proponentes
54. Generar y enviar a aprobación la carta de aceptación Responsable: (DSA),0.2608695652173913,54,DSA
"27. Aprobar el documento generado de términos de referencia por las áreas intervinientes Responsable: (OSI, ORO, OGC y usuario contratación)",0.2692307692307692,27,"OSI, ORO, OGC y usuario contratación"
5. Generar y presentar a aprobación el Plan Anual de Adquisiciones al CIGD (Responsable: DSA),0.2692307692307692,5,DSA
7. Presentar al CIGD modificaciones al Plan Anual de Adquisiciones (Responsable: usuario contratación),0.2692307692307692,7,usuario contratación
61. Gestionar aclaraciones de la información necesaria para elaborar el contrato/orden. (Responsable: Abogado OGC / usuario contratación / DSA),0.30434782608695654,61,Abogado OGC / usuario contratación / DSA
76. Firmar el contrato/orden por parte del representante legal (Responsable: Representante legal),0.30434782608695654,76,Representante legal
81. Parametrizar pagos e informes de contratación (Responsable: Supervisor),0.30434782608695654,81,Supervisor
18. Estructurar documento anexo técnico para los términos de referencia (Responsable: usuario contratación),0.3076923076923077,18,usuario contratación
3. Diligenciar en IBM plannig  la información de las contrataciones a presupuestar. (Responsable: Gestor presupuestal),0.3076923076923077,3,Gestor presupuestal
"17. Realizar la solicitud de elaboración de términos de referencia con la información de la ""solicitud de contratación"" (Responsable: usuario contratación / DSA)",0.3076923076923077,17,usuario contratación / DSA
20. Realizar el contacto y validación de la intervención de la OSI (Responsable: OSI),0.3076923076923077,20,OSI
"1. Identificar las necesidades de contratación para la siguiente vigencia (tanto vigentes, como contrataciones nuevas). (Responsable: Líder de área)",0.34615384615384615,1,Líder de área
26. Gestionar aclaraciones de la información necesaria para elaborar el documento de términos de referencia Responsable: (Abogado OGC / usuario contratación / DSA),0.34615384615384615,26,Abogado OGC / usuario contratación / DSA
25. Revisar la información y documentos anexos para iniciar el proceso de estructuración de los términos de referencia. Responsable: (Abogado OGC),0.34615384615384615,25,Abogado OGC
4. Validar la correcta información del Plan de compras  (Responsable: Líder de área),0.34615384615384615,4,Líder de área
72. Radicar documentos físicos en Bancóldex para validación por parte de la OGC. (Responsable: Proveedor seleccionado),0.34782608695652173,72,Proveedor seleccionado
28. Tiempo de entrega de los términos de referencia definitivos Responsable: (OGC),0.38461538461538464,28,OGC
2. Determinar el presupuesto requerido para adelantar la contratación. (Responsable: Líder de área - Gestor presupuestal),0.38461538461538464,2,Líder de área - Gestor presupuestal
53. Recolectar vistos buenos para la recomendación técnica Responsable: (usuario contratación),0.391304347826087,53,usuario contratación
14. Solicitud y asignación de la recomendación técnica dentro del equipo del DTI (Responsable: TI - Ingeniero asignado),0.4230769230769231,14,TI - Ingeniero asignado
16. Tiempo de entrega de la recomendación técnica (Responsable: usuario contratación),0.4230769230769231,16,usuario contratación
15. Estructuración y aprobación de la recomendación técnica dentro del equipo del DTI (Responsable: TI - Ingeniero asignado),0.46153846153846156,15,TI - Ingeniero asignado
56. Firmar la carta de aceptación Responsable: (Representante legal),0.4782608695652174,56,Representante legal
10. Establecer claramente los criterios de evaluación del proceso (Responsable: usuario contratación),0.5,10,usuario contratación
"23. Aprobar el documento de elaboración de términos de referencia por las áreas intervinientes (Responsable: OSI, ORO, OGC y usuario contratación)",0.5,23,"OSI, ORO, OGC y usuario contratación"
55. Recolectar vistos buenos para la carta de aceptación Responsable: (usuario contratación),0.5217391304347826,55,usuario contratación
74. Gestionar recolección de los vistos buenos en el contrato/orden (Responsable: usuario contratación),0.5217391304347826,74,usuario contratación
70. Firmar en notaria el contrato/orden (Responsable: Proveedor seleccionado),0.5217391304347826,70,Proveedor seleccionado
8. Iniciar el proceso de contratación dentro del tiempo presupuestado. (Responsable: usuario contratación),0.5769230769230769,8,usuario contratación
"67. Tiempo de elaboración de contrato/orden (Responsable: DSA, OGC, OSI, ORO, OGT y usuario contratación)",0.6086956521739131,67,"DSA, OGC, OSI, ORO, OGT y usuario contratación"
